,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
211,"Residential, single family residence",Built in 1926,Forced air,Central air,1 Garage space,"5,453 sqft",$68 price/sqft,,77128950
212,Single family residence,Built in 1962,"Natural gas, forced air",Central air,2 Garage spaces,"7,500 sqft",$183 price/sqft,,73296421
213,"Residential, single family residence",Built in 1971,Forced air,Central air,2 Attached garage spaces,0.44 Acres,$105 price/sqft,,80675642
214,Single family residence,Built in 2014,Forced air,Central air,2 Attached garage spaces,0.31 Acres,$123 price/sqft,,124209188
215,"Residential, single family residence",Built in 1995,Forced air,"Central air, ceiling fan(s)",3 Attached garage spaces,0.31 Acres,$143 price/sqft,,99135396
216,"Residential, condominium",Built in 2004,Forced air,Central air,2 Attached garage spaces,,$186 price/sqft,,85457575
217,"Residential, single family residence",Built in 1963,Forced air,Central air,2 Attached garage spaces,0.32 Acres,$88 price/sqft,,80675508
218,Townhouse,Built in 2004,"Natural gas, forced air",Central air,2 Attached garage spaces,"2,190 sqft",$179 price/sqft,,73316200
219,"Residential, single family residence",Built in 1950,Forced air,Central air,No data,"7,840 sqft",$147 price/sqft,,85289160
220,Townhouse,Built in 2002,"Natural gas, forced air",Central air,2 Attached garage spaces,"4,704 sqft",$109 price/sqft,,73380950
221,"Residential, condominium",Built in 1995,Forced air,"Central air, ceiling fan(s)",1 Attached garage space,,$134 price/sqft,,1191914
222,"Residential, single family residence",Built in 1981,"Forced air, heat pump",Central air,2 Attached garage spaces,0.38 Acres,$113 price/sqft,,85445046
223,"Residential, single family residence",Built in 1900,Forced air,Central air,3 Garage spaces,0.36 Acres,$128 price/sqft,,1096476
224,"Residential, single family residence",Built in 1997,Heat pump,"Ceiling fan(s), heat pump",2 Garage spaces,"9,583 sqft",$163 price/sqft,,73274346
225,"Multi family, quadruplex",Built in 1900,No data,No data,No data,,,,1094929
226,Single family residence,Built in 2005,Natural gas,Central air,3 Attached garage spaces,0.46 Acres,,2% buyers agency fee,82758653
227,"Residential, single family residence",Built in 1985,Forced air,Central air,2 Attached garage spaces,0.48 Acres,$100 price/sqft,,1156189
228,"Residential, single family residence",Built in 1962,Forced air,Central air,2 Attached garage spaces,0.64 Acres,$183 price/sqft,,1267173
229,Single family residence,Built in 1889,"Natural gas, forced air",Central air,2 Garage spaces,1.24 Acres,$177 price/sqft,,73383147
230,Single family residence,,Forced air,Central air,1 Garage space,5 Acres,$145 price/sqft,,214165670
231,Single family residence,Built in 1928,Forced air,None,2 Garage spaces,"4,356 sqft",,3% buyers agency fee,62626031
232,Single family residence,Built in 1984,Heat pump,Central air,2 Attached garage spaces,0.40 Acres,$119 price/sqft,,85425635
233,"Residential, condominium",Built in 2000,Forced air,Central air,2 Attached garage spaces,,$119 price/sqft,,59811385
234,Single family residence,Built in 1925,"Natural gas, forced air",Central air,1 Garage space,"9,626 sqft",,3.5% buyers agency fee,85201484
235,Single family residence,Built in 1984,"Natural gas, wood, forced air, multiple heating systems, propane tank rented","Central air, ceiling fan(s)",3 Garage spaces,11.70 Acres,,2.4% buyers agency fee,2061692352
236,"Residential, single family residence",Built in 1950,Forced air,Central air,1 Garage space,"5,619 sqft",$59 price/sqft,,1293551
237,"Residential, single family residence",Built in 1920,Forced air,Central air,No data,0.31 Acres,$133 price/sqft,,1193200
238,Single family residence,Built in 1971,"Natural gas, forced air",Central air,2.5 Attached garage spaces,0.46 Acres,$143 price/sqft,,73402895
239,Single family residence,Built in 2017,Forced air,Central air,2 Attached garage spaces,"9,583 sqft",$129 price/sqft,,119412616
240,"Residential, single family residence",Built in 1962,Forced air,Central air,4 Attached garage spaces,6.17 Acres,$148 price/sqft,,2061051875
241,Single family residence,Built in 1953,Forced air,"Central air, ceiling fan(s)",2 Attached garage spaces,0.30 Acres,,3.00% buyers agency fee,85753454
242,Single family residence,Built in 1930,"Natural gas, forced air",Central air,2 Garage spaces,0.45 Acres,$219 price/sqft,,99179107
243,"Residential, single family residence",Built in 1979,Forced air,Central air,2 Attached garage spaces,"4,499 sqft",$139 price/sqft,,85311895
244,Single family residence,Built in 2002,"Natural gas, forced air",Central air,2 Garage spaces,1.40 Acres,,3% buyers agency fee,94510083
245,Single family residence,Built in 1935,"Natural gas, forced air",Central air,2 Attached garage spaces,"6,534 sqft",,3% buyers agency fee,94609552
246,Multi family,Built in 2022,"Natural gas, forced air",Central air,2 Attached garage spaces,,$193 price/sqft,,2061355982
247,Single family residence,Built in 1990,"Natural gas, forced air",No data,2 Attached garage spaces,0.47 Acres,$113 price/sqft,,89782670
248,"Residential, single family residence",Built in 1950,Forced air,Central air,1 Garage space,"8,276 sqft",$72 price/sqft,,85700336
249,Single family residence,Built in 1982,"Solar, forced air",No data,2 Attached garage spaces,2.09 Acres,$177 price/sqft,,85545651
250,"Residential, single family residence",Built in 2004,Forced air,Central air,2 Attached garage spaces,0.28 Acres,$117 price/sqft,,73213600
251,Single family residence,Built in 1917,"Natural gas, forced air",Central air,1 Garage space,"5,227 sqft",,3% buyers agency fee,77012741
252,Single family residence,Built in 1976,Electric,Central air,1 Attached garage space,6.54 Acres,,2.5% buyers agency fee,231398023
253,Single family residence,Built in 1994,Electric,Central air,2 Garage spaces,1.26 Acres,,2.5% buyers agency fee,102875426
254,Single family residence,Built in 1885,"Natural gas, hot water",Central air,2 Garage spaces,0.59 Acres,,2.5% buyers agency fee,50608146
255,"Residential, single family residence",Built in 2017,Forced air,Central air,3 Attached garage spaces,"9,744 sqft",$162 price/sqft,,2093846985
256,"Residential, single family residence",Built in 2000,Forced air,Central air,2 Attached garage spaces,"7,405 sqft",$164 price/sqft,,85317478
257,Single family residence,Built in 1930,"Natural gas, forced air, high efficiency furnace",Central air,Open parking,"4,356 sqft",,3% buyers agency fee,85736627
258,"Residential, single family residence",Built in 1978,Heat pump,Central air,2 Attached garage spaces,0.29 Acres,$164 price/sqft,,73224627
259,"Residential, single family residence",Built in 1961,Forced air,Window unit(s),2 Garage spaces,0.79 Acres,$99 price/sqft,,1182744
260,"Residential, single family residence",Built in 1927,Forced air,Central air,Open parking,0.55 Acres,$83 price/sqft,,1128273
261,"Residential, single family residence",Built in 1978,"Forced air, heat pump",Heat pump,4 Attached garage spaces,1.28 Acres,$104 price/sqft,,73269200
262,Single family residence,Built in 1996,Forced air,Central air,2 Attached garage spaces,0.28 Acres,,3% buyers agency fee,77039977
263,Single family residence,Built in 1935,"Natural gas, forced air",Central air,2 Attached garage spaces,No data,,3% buyers agency fee,77099903
264,Single family residence,Built in 1974,"Natural gas, forced air",Central air,2.5 Attached garage spaces,0.28 Acres,$121 price/sqft,,89783343
265,"Residential, single family residence",Built in 2001,Forced air,"Central air, ceiling fan(s)",3 Attached garage spaces,0.34 Acres,$176 price/sqft,,85445936
266,Single family residence,Built in 2008,"Electric, forced air, heat pump","Central air, ceiling fan(s)",2 Attached garage spaces,0.50 Acres,,3% buyers agency fee,97324678
267,Single family residence,Built in 1926,"Natural gas, forced air",Central air,2 Garage spaces,"4,791 sqft",,3% buyers agency fee,73204877
268,Single family residence,Built in 1998,"Natural gas, forced air",Central air,3 Attached garage spaces,1 Acres,$146 price/sqft,,118698249
269,Single family residence,Built in 1964,"Forced air, natural gas",Central air,1 Attached garage space,"9,147 sqft",,3% buyers agency fee,73131288
270,"Residential, single family residence",Built in 1961,Forced air,"Central air, ceiling fan(s)",1 Garage space,"9,801 sqft",$188 price/sqft,,85317787
271,Single family residence,Built in 1910,Natural gas,Central air,1.5 Garage spaces,"6,098 sqft",,3% buyers agency fee,77077057
272,Single family residence,Built in 1964,"Natural gas, forced air",Central air,1 Attached garage space,"7,840 sqft",,3% buyers agency fee,85389546
273,Multi family,Built in 2022,"Natural gas, forced air",Central air,2 Attached garage spaces,,$190 price/sqft,,2060733058
274,"Residential, single family residence",Built in 1962,Forced air,Central air,1 Attached garage space,"7,361 sqft",$140 price/sqft,,1230994
275,Single family residence,Built in 1944,"Natural gas, forced air",No data,2 Garage spaces,2.25 Acres,$157 price/sqft,,73377179
276,"Residential, single family residence",Built in 1930,Forced air,Central air,2 Garage spaces,"5,227 sqft",$78 price/sqft,,85099853
277,"Stick/site built, single family residence",Built in 1996,"Fireplace(s), forced air, natural gas",Central air,No data,0.22 Acres,,,69544231
278,Single family residence,Built in 1995,"Forced air, heat pump","Central air, heat pump",1 Attached garage space,"8,276 sqft",$242 price/sqft,3.00% buyers agency fee,54342249
279,Single family residence,Built in 2003,"Electric, forced air",Central air,2 Attached garage spaces,"9,583 sqft",$225 price/sqft,,65332868
280,Single family residence,Built in 2007,"Central, gas hot air furnace",Central air,3 Attached garage spaces,0.71 Acres,$192 price/sqft,,93074588
281,Single family residence,Built in 1947,"Central, forced air",Central air,Open parking,"10,454 sqft",$232 price/sqft,,5687826
282,"Stick/site built, single family residence",Built in 1998,"Fireplace(s), forced air, heat pump, electric",Central air,2 Attached garage spaces,1.56 Acres,,,5995103
283,"Stick/site built, single family residence",Built in 1955,"Forced air, natural gas",Central air,1 Garage space,0.26 Acres,,,5923651
284,Single family residence,Built in 1986,"Natural gas, forced air",Central air,2 Garage spaces,0.35 Acres,$202 price/sqft,,49992311
285,Single family residence,Built in 1985,"Natural gas, forced air",Central air,Open parking,0.25 Acres,$204 price/sqft,,49998157
286,Single family residence,Built in 2006,"Electric, propane, heat pump",Central air,2 Attached garage spaces,0.38 Acres,$174 price/sqft,,107003368
287,Single family residence,Built in 1920,"Forced air, gas pack, wood stove",Central air,"Asphalt, off street, on site",0.29 Acres,$62 price/sqft,2.40% buyers agency fee,107088231
288,Single family residence,Built in 1971,"Baseboard, electric, propane",None,"Concrete, driveway",0.33 Acres,$159 price/sqft,3.0% buyers agency fee,102350856
289,Single family residence,Built in 1994,Heat pump,Central air,2 Attached garage spaces,No data,$138 price/sqft,,53680027
290,Single family residence,Built in 1890,"Central, baseboard, gas hot air furnace, multizone a/c, zoned, natural gas","Central air, zoned, gas",Open parking,0.48 Acres,$76 price/sqft,,68701176
291,Single family residence,Built in 1999,Heat pump,Central air,Unpaved,"6,098 sqft",$189 price/sqft,2.50% buyers agency fee,78231368
292,"Stick/site built, single family residence",Built in 1959,"Forced air, natural gas",Central air,Open parking,0.24 Acres,,,5909489
293,Single family residence,Built in 1953,"Electric, heat age 0-3 yrs","A/c age 0-3 years, central air",Open parking,"8,276 sqft",$237 price/sqft,,6398826
294,Townhouse,Built in 1971,Electric,None,No data,No data,,,2060669151
295,Single family residence,Built in 1977,"None, wood stove",No data,Open parking,0.53 Acres,,,51661052
296,"Stick/site built, single family residence",Built in 1986,"Forced air, propane, propane gas",Central air,2 Garage spaces,0.48 Acres,,,70154647
297,"Stick/site built, single family residence",Built in 1946,"Forced air, natural gas",Central air,2 Garage spaces,0.17 Acres,,,5919502
298,Single family residence,Built in 1991,Heat pump,Heat pump,1 Carport space,2.73 Acres,$350 price/sqft,,6054160
299,Single family residence,Built in 1958,"Central, gas hot air furnace",Central air,2 Carport spaces,0.58 Acres,$156 price/sqft,,6148961
300,Single family residence,Built in 1999,Heat pump,Heat pump,2 Attached garage spaces,0.49 Acres,$219 price/sqft,,71950180
301,Single family residence,Built in 1976,"Central, electric",Central electric,Open parking,0.44 Acres,$220 price/sqft,,2061961649
302,Single family residence,Built in 1993,"Electric, zoned, heat pump","Central air, dual",2 Garage spaces,0.59 Acres,$157 price/sqft,,71872763
303,Condominium,Built in 1988,Heat pump,Wall/window unit(s),"Asphalt, gravel, lighted, on site, paved, shared",,$423 price/sqft,2.40% buyers agency fee,102020160
304,Single family residence,Built in 1968,"Propane, heat age 6+ yrs","Central air, heat pump",2 Garage spaces,3.38 Acres,$204 price/sqft,,60076921
305,Single family residence,Built in 2000,"Electric, forced air",Central air,1 Garage space,0.74 Acres,$211 price/sqft,,50120356
306,Single family residence,Built in 1972,"Central, electric",Central electric,Open parking,0.94 Acres,$284 price/sqft,,230512773
307,Single family residence,Built in 1950,"Natural gas, gas pack",Gas,Open parking,0.28 Acres,$154 price/sqft,,50007178
308,Single family residence,Built in 1996,No data,Central air,2 Attached garage spaces,1.38 Acres,$146 price/sqft,,106987895
309,Single family residence,Built in 1959,Central,Central air,Open parking,"10,454 sqft",,,6199225
310,Single family residence,Built in 1966,"Electric, zoned, forced air, heat age 0-3 yrs","A/c age 0-3 years, dual",2 Garage spaces,0.56 Acres,$220 price/sqft,,6409469
311,Single family residence,Built in 1900,"Heat pump, see remarks",Heat pump,Open parking,0.82 Acres,,,2086813886
312,Single family residence,Built in 1913,Heat pump,Central air,1 Carport space,0.59 Acres,$135 price/sqft,2.50% buyers agency fee,2141895072
313,Single family residence,Built in 2006,Heat pump,Heat pump,Open parking,0.41 Acres,$170 price/sqft,,5630877
314,Single family residence,Built in 1991,Gas,Central air,2 Attached garage spaces,No data,$123 price/sqft,,53671314
315,Single family residence,Built in 1999,"Natural gas, forced air, heat age 0-3 yrs","Central air, a/c age 0-3 years",2 Garage spaces,"6,969 sqft",$292 price/sqft,,50113119
